salary_in_usd,prediction
122000,165870.4917601387
122400,167419.0516077844
123000,165870.4917601387
123000,165870.4917601387
123700,165870.4917601387
123700,165870.4917601387
123700,165870.4917601387
124740,165870.4917601387
124935,122915.85951050988
125000,165870.4917601387
125000,167419.0516077844
126000,165870.4917601387
126000,165870.4917601387
126000,165870.4917601387
126000,167419.0516077844
126800,165870.4917601387
126800,165870.4917601387
128000,165870.4917601387
128000,165870.4917601387
128750,165870.4917601387
129000,165870.4917601387
129000,165870.4917601387
129000,165870.4917601387
129000,165870.4917601387
129000,165870.4917601387
129000,165870.4917601387
129000,165870.4917601387
129192,99198.23936246273
129300,165870.4917601387
129300,165870.4917601387
